TID,PID,x,y
17,37,975.218,371.761
17,38,984.381,374.379
17,39,988.308,375.688
17,40,989.617,379.615
17,41,988.308,383.542
17,42,977.836,386.16
17,43,971.291,391.396
17,44,962.128,388.778
17,45,950.347,392.705
17,46,942.493,392.705
17,47,930.712,390.087
17,48,925.476,387.469
17,49,917.621,390.087
17,50,905.84,390.087
17,51,896.677,388.778
17,52,888.823,391.396
17,53,874.424,391.396
17,54,870.497,391.396
17,55,863.952,392.705
17,56,854.789,388.778
17,57,844.316,388.778
17,58,833.844,388.778
17,59,823.372,386.16
17,60,814.209,383.542
17,63,803.737,382.233
18,46,179.335,450.302
18,47,179.335,448.993
18,48,180.644,443.757
18,49,181.953,442.448
18,50,183.262,439.83
18,51,187.19,441.139
18,52,185.881,442.448
18,53,181.953,439.83
18,54,179.335,441.139
18,55,183.262,443.757
18,56,184.572,441.139
18,57,183.262,438.521
18,58,189.808,438.521
18,59,192.426,443.757
18,60,196.353,443.757
18,61,200.28,443.757
18,62,205.516,445.066
18,63,212.061,448.993
18,64,217.297,445.066
18,65,219.915,450.302
18,66,223.842,450.302
18,67,231.696,450.302
18,68,236.932,451.611
18,69,243.477,452.92
18,70,251.331,451.611
18,71,257.877,450.302
18,72,264.422,455.538
18,73,269.658,454.229
18,74,280.13,454.229
18,75,287.984,456.847
18,76,298.456,456.847
18,77,307.619,454.229
18,78,311.546,456.847
18,79,319.4,459.465
18,80,336.418,460.774
18,81,339.036,458.156
18,82,345.581,462.083
18,83,353.435,463.392
18,84,358.671,460.774
18,85,358.671,468.628
18,86,357.362,473.864
18,87,362.598,479.101
18,88,358.671,479.101
18,89,354.744,479.101
18,90,344.272,481.719
18,91,337.727,479.101
18,92,332.491,471.246
18,93,324.636,468.628
18,94,315.473,466.01
18,95,311.546,459.465
18,96,305.001,456.847
18,97,291.911,455.538
18,98,280.13,458.156
18,99,270.967,464.701
18,100,259.186,467.319
18,101,253.949,467.319
18,102,246.095,467.319
18,103,235.623,467.319
18,104,226.46,468.628
18,105,215.988,473.864
18,111,201.589,468.628
19,14,534.079,480.41
19,15,536.697,476.482
19,16,536.697,473.864
19,17,535.388,468.628
19,18,534.079,466.01
19,19,538.006,460.774
19,20,553.715,459.465
19,21,557.642,452.92
19,22,562.878,448.993
19,23,566.805,447.684
19,24,569.423,445.066
19,25,575.968,442.448
19,26,583.822,438.521
19,27,590.367,433.285
19,28,602.148,428.049
19,29,604.766,422.813
19,30,615.238,418.886
19,31,619.165,417.577
19,32,627.02,416.268
19,33,634.874,413.65
19,34,640.11,413.65
19,35,647.964,412.341
19,36,658.436,408.414
19,37,663.672,408.414
19,38,672.835,409.723
19,39,681.998,405.796
19,40,695.088,407.105
19,41,700.325,404.487
19,42,706.87,401.868
19,43,714.724,404.487
19,44,726.505,407.105
19,45,733.05,407.105
19,46,744.831,404.487
19,47,751.376,401.868
19,48,761.848,405.796
19,49,769.702,409.723
19,50,778.866,409.723
19,51,785.411,413.65
19,52,794.574,412.341
19,53,803.737,409.723
19,54,814.209,411.032
19,55,825.99,416.268
19,56,825.99,420.195
19,57,833.844,420.195
